	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
TCGA-12-0616-01	0.0	0.0	0.0	0.0	1.1479076	0.0	0.20701075	0.0	0.0	0.108261146	0.8734917	1.2501864	0.0	0.0	1.1744776	0.07409652	1.238084	1.6556901	0.0	1.6063615	0.0	0.7004639	0.90869296	0.0	0.0	0.0	0.0	2.4648995	0.37772864	0.0	1.0784651	0.0	1.9037491	0.1720383	0.48734963	0.0	0.09268696	0.0	0.44931993	0.0	0.0	0.0	0.0	0.0	0.0	0.76374567	0.109058715	0.569197
TCGA-06-5415-01	0.0	0.0	0.0	0.0	0.57778144	0.0	0.9348003	0.06744087	0.0	0.0	0.18734358	0.44823268	0.0	0.0	0.7006758	0.0	0.3922117	0.13767701	0.21271607	0.20772648	1.1671396	0.46314594	0.0	0.8404255	0.0	0.0	0.455772	0.0	0.6456507	0.0	0.23725767	0.23596567	0.44379807	0.0	0.42598334	0.0	0.769216	0.0	1.0069964	0.0	0.0	0.3817761	0.0	0.0	0.033282626	0.3487539	0.0	0.0
TCGA-06-5411-01	0.0	0.0	0.0	0.4562449	0.0	0.0	0.0	0.0	0.53913456	0.0	0.0	0.048913367	0.0	0.6664247	0.12929103	0.0	0.0	0.0	0.0	0.0	0.4133823	0.0	0.0	0.2989093	0.0	0.7292653	0.033997532	0.0	0.14164257	0.0	0.45326042	0.53889763	0.70528674	0.0	0.0	0.0	0.0	0.38195595	0.0	0.0	0.0	0.229854	0.23885381	0.10407692	0.37585863	0.0	0.0	0.0
TCGA-06-0211-01	0.0	0.1451462	0.6159539	0.0	0.011708628	0.04219198	0.7078473	0.03312795	0.0	0.0	0.12272598	0.020946613	0.2769063	0.0	0.0	0.0	0.37250608	0.5088904	0.0	0.0	0.1299421	0.6018883	0.06945727	0.88445103	0.632399	0.0	0.0	0.0	0.37750128	0.0	0.027256249	0.0	0.0	0.56941575	0.0	0.0	0.8116786	0.0	0.55068535	0.19027454	0.2849972	0.75266397	0.0	0.0	0.0	0.06773935	0.14507243	0.2813262
TCGA-19-1787-01	0.0	1.1730399	0.5372892	1.0503235	0.05639258	0.0	0.40456012	0.5235649	0.0	0.13498032	0.0	0.0	0.0	1.5460968	0.0	0.0	0.34927452	0.0	0.7339802	1.9935417	0.6221648	0.0	0.0	0.0	0.18082772	0.0	1.1310432	0.4318969	0.0	2.3013904	0.0	0.41535908	0.7353356	0.9401908	0.0	0.37994865	0.840755	0.6026978	0.0	0.9070779	0.543034	0.5315843	1.4947915	0.0	0.0	0.0	0.14621948	0.21858011
TCGA-27-1835-01	0.0	0.0	0.67051727	0.0	0.14239801	0.0	0.2425511	0.45907405	0.0	0.6742007	0.86495805	1.018913	0.0	0.0	0.77401346	0.059791736	0.61420536	0.0	0.0	0.0	0.0	0.0	1.308926	1.4454839	0.0	0.60793525	0.0	0.0	0.0	0.0	0.0	0.0	0.77953225	0.0	0.79114115	0.15052098	0.5494853	0.64664036	0.22758527	0.0	0.0	0.0	0.64065015	0.75139505	0.0	1.0004807	0.20129731	0.3701762
TCGA-28-5213-01	0.0	0.0	0.07710151	0.0	0.745112	0.0	1.0221037	0.3207746	0.7225695	0.0029379756	0.0	1.3101437	0.17776448	0.1008523	0.65375715	0.0	1.4446429	1.0394531	0.5163777	0.0	0.014121508	0.0	1.1505259	0.0	0.0	0.15073487	0.0	0.18704113	0.0	0.44783375	0.872413	0.0	0.2459599	0.0	0.10198013	0.07093837	0.06619078	0.4769963	0.55161715	0.1828792	0.0	0.3250021	0.0	0.97597235	0.1730206	0.20478989	1.0939538	0.0
TCGA-06-2561-01	0.0	0.0	0.15076557	0.0	0.9720938	0.0	0.26221594	1.034221	0.0	0.0	0.0	0.5826475	0.0	0.012546756	0.0	0.0	0.8803371	0.0	0.48562637	0.0	0.0	0.50259095	0.9694187	0.0	0.0	0.0	0.0	0.30532616	0.3764475	0.5622267	0.4706951	1.017947	1.0849211	0.0	1.332954	0.0	0.24905172	0.078308076	0.0	0.18050255	0.0	0.0	0.0	0.34884736	0.3504002	0.0	0.0	0.0
TCGA-14-2554-01	0.0	0.0	0.0	0.0	0.49125427	0.28167644	0.5449864	0.92381775	0.0	0.3391539	0.18918465	0.0	0.0	0.23467787	0.0	0.2336371	0.0	0.17804083	0.43837994	0.011039681	0.32119146	0.0	0.6632483	0.2851198	0.27429646	0.0	0.19341552	0.0	0.78147393	0.18525784	0.0	0.0	0.0	0.7810978	0.32944587	0.37579313	1.1589675	0.16628924	1.4106278	0.5698824	0.0	0.7767479	0.23861575	0.12483187	0.1637772	0.0	0.73295397	0.0
TCGA-06-2563-01	0.0	0.51695985	1.2742703	0.0	0.0	0.4510874	0.53799784	0.0	0.0	0.08374997	0.0	0.02303025	0.0	0.0	0.0	0.65248954	0.87770134	0.49077675	0.44234735	0.0	0.5427902	0.42458132	0.0	0.7247382	0.59027547	0.0	0.0	0.0	0.10048979	0.0	0.63169277	0.0	0.0	0.26943302	0.20091176	0.0	1.2770948	0.0	0.60943496	0.5018751	0.0	0.4114082	0.0	0.0	0.0	0.0	0.21708456	0.0
