trial_id,ts,DATA.SELECT_TOP_VAR.per_modality_k.rna,DATA.SELECT_TOP_VAR.per_modality_k.cnv,DATA.TAKE_INTERSECTION,DATA.ZSCORE,SNF.K,SNF.T,AE.HIDDEN,AE.LATENT_PER_MODAL,AE.DROPOUT,AE.LR,AE.WEIGHT_DECAY,GCN.HIDDEN,GCN.LAYERS,GCN.ALPHA,GCN.DROPOUT,GCN.LR,GCN.WEIGHT_DECAY,GCN.LABEL_SMOOTHING,GCN.CLASS_WEIGHTED_CE,GCN.EARLY_STOP,GCN.EARLY_STOP_PATIENCE,EXPERIMENT.TRAIN_RATIO,TRAIN.VAL_RATIO,acc_mean,acc_std,f1_mean,f1_std
T0026,2025-09-23 05:51:22,12,15,1024,40,0.3,0.001,0.0005,160,2,0.1,0.45,0.0008,0.0005,0.02,True,True,80,0.8,0.1,0.67,0.0698,0.6435,0.0753
T0027,2025-09-23 05:51:40,6,18,1024,56,0.3,0.001,0.001,192,4,0.2,0.45,0.001,0.001,0.0,True,True,80,0.85,0.1,0.6674,0.0883,0.6588,0.0838
T0028,2025-09-23 05:51:55,6,18,1024,40,0.1,0.0005,0.0001,160,3,0.1,0.45,0.0008,0.0005,0.01,True,True,80,0.75,0.15,0.6392,0.0847,0.612,0.0985
T0029,2025-09-23 05:52:12,10,12,512,64,0.1,0.001,0.001,128,3,0.2,0.45,0.001,0.0005,0.02,True,True,80,0.8,0.15,0.63,0.0881,0.6076,0.093
T0030,2025-09-23 05:52:27,8,18,512,40,0.2,0.0005,0.0001,192,2,0.2,0.45,0.001,0.0001,0.0,True,True,80,0.8,0.15,0.665,0.0619,0.65,0.0692
T0031,2025-09-23 05:52:40,6,12,1024,56,0.3,0.0005,0.001,160,3,0.1,0.4,0.0012,0.0005,0.02,True,True,80,0.85,0.15,0.6978,0.0819,0.6913,0.0851
T0032,2025-09-23 05:52:56,10,12,512,48,0.2,0.001,0.0001,192,4,0.2,0.4,0.001,0.001,0.0,False,True,80,0.8,0.1,0.6667,0.0913,0.6383,0.0893
T0033,2025-09-23 05:53:10,8,15,1024,40,0.1,0.001,0.001,128,4,0.05,0.35,0.0012,0.0001,0.0,True,True,80,0.75,0.1,0.6919,0.0804,0.6651,0.0927
T0034,2025-09-23 05:53:27,8,10,1024,48,0.2,0.001,0.0001,192,2,0.05,0.45,0.0008,0.001,0.01,False,True,80,0.75,0.15,0.6405,0.082,0.6064,0.0846
T0035,2025-09-23 05:53:43,10,10,256,40,0.2,0.0005,0.0005,128,4,0.2,0.4,0.001,0.001,0.01,False,True,80,0.8,0.1,0.6867,0.0741,0.653,0.09
T0036,2025-09-23 05:53:58,12,15,512,48,0.3,0.0005,0.0001,128,4,0.2,0.45,0.001,0.0005,0.0,False,True,80,0.75,0.15,0.6405,0.0793,0.5985,0.079
T0037,2025-09-23 05:54:13,6,18,1024,40,0.1,0.0005,0.0005,128,3,0.2,0.4,0.001,0.0005,0.0,True,True,80,0.8,0.15,0.6467,0.0777,0.6256,0.0847
T0038,2025-09-23 05:54:28,6,18,512,64,0.3,0.0005,0.0001,128,2,0.1,0.3,0.0008,0.0001,0.01,False,True,80,0.75,0.15,0.6527,0.0669,0.6152,0.0835
T0039,2025-09-23 05:54:42,6,18,256,64,0.1,0.0005,0.0001,128,3,0.2,0.45,0.001,0.001,0.02,True,True,80,0.75,0.1,0.65,0.0681,0.6276,0.0721
T0040,2025-09-23 05:54:57,6,15,256,64,0.1,0.001,0.001,96,3,0.05,0.45,0.0008,0.0005,0.02,True,True,80,0.8,0.1,0.69,0.0831,0.6748,0.0907
T0041,2025-09-23 05:55:13,10,10,256,48,0.3,0.001,0.0001,192,4,0.1,0.35,0.0012,0.001,0.02,False,True,80,0.85,0.1,0.6326,0.083,0.6115,0.0959
T0042,2025-09-23 05:55:28,8,15,256,48,0.3,0.001,0.0005,192,3,0.05,0.4,0.0008,0.0007,0.02,False,True,80,0.8,0.1,0.7,0.0494,0.6728,0.0587
T0043,2025-09-23 05:55:43,10,10,256,48,0.1,0.0005,0.001,160,2,0.2,0.35,0.0012,0.001,0.01,False,True,80,0.8,0.1,0.705,0.0777,0.6851,0.0795
T0044,2025-09-23 05:55:56,8,18,1024,56,0.1,0.0005,0.0001,96,2,0.05,0.4,0.0008,0.0007,0.02,True,True,80,0.85,0.1,0.6391,0.0632,0.6107,0.064
T0045,2025-09-23 05:56:14,12,10,256,56,0.3,0.0005,0.0001,96,4,0.05,0.35,0.001,0.0007,0.0,True,True,80,0.75,0.1,0.6689,0.0591,0.6483,0.0681
T0046,2025-09-23 05:56:29,12,15,256,48,0.1,0.001,0.0005,128,4,0.05,0.4,0.001,0.0001,0.01,False,True,80,0.85,0.15,0.6587,0.0828,0.6316,0.0865
T0047,2025-09-23 05:56:46,6,12,512,56,0.1,0.0005,0.0005,96,3,0.05,0.45,0.0008,0.0005,0.01,False,True,80,0.8,0.1,0.6733,0.0847,0.644,0.0934
T0048,2025-09-23 05:57:03,8,10,256,64,0.3,0.001,0.0001,160,4,0.2,0.3,0.001,0.0003,0.02,True,True,80,0.75,0.15,0.65,0.0817,0.6337,0.082
T0049,2025-09-23 05:57:18,8,10,512,40,0.3,0.0005,0.001,96,2,0.05,0.4,0.0008,0.0007,0.02,True,True,80,0.75,0.1,0.7027,0.0673,0.6845,0.0703
T0050,2025-09-23 05:57:37,8,15,1024,40,0.3,0.001,0.001,96,4,0.05,0.4,0.0012,0.0007,0.01,False,True,80,0.85,0.15,0.6891,0.0769,0.6722,0.0829
