u,v,rho,pval
TCGA-02-0006-01,TCGA-19-2624-01,0.6018681533438772,0.0
TCGA-02-0006-01,TCGA-19-2631-01,0.7057129938719132,0.0
TCGA-02-0006-01,TCGA-19-5954-01,0.6712684897184982,0.0
TCGA-02-0006-01,TCGA-26-5135-01,0.6214593940739332,0.0
TCGA-02-0006-01,TCGA-26-A7UX-01,0.6598042659573886,0.0
TCGA-02-0006-01,TCGA-27-2526-01,0.6047811571144756,0.0
TCGA-02-0006-01,TCGA-32-2491-01,0.6410352116092355,0.0
TCGA-02-0006-01,TCGA-41-2571-01,0.6298890373951025,0.0
TCGA-02-0006-01,TCGA-41-6646-01,0.7390646843518515,0.0
TCGA-02-0006-01,TCGA-4W-AA9S-01,0.6944074883088382,0.0
TCGA-02-0006-01,TCGA-74-6581-01,0.6672989846352094,0.0
TCGA-02-0006-01,TCGA-76-4926-01,0.6183963452439469,0.0
TCGA-02-0006-01,TCGA-76-6192-01,0.6429187715779937,0.0
TCGA-02-0006-01,TCGA-76-6657-01,0.7406887227607404,0.0
TCGA-02-0007-01,TCGA-06-0219-01,0.6033790297290653,0.0
TCGA-02-0007-01,TCGA-08-0512-01,0.6004508544947283,0.0
TCGA-02-0009-01,TCGA-02-0021-01,0.6572873855610518,0.0
TCGA-02-0009-01,TCGA-02-0023-01,0.6299526386271114,0.0
TCGA-02-0009-01,TCGA-02-0037-01,0.6558448930345481,0.0
TCGA-02-0009-01,TCGA-02-0038-01,0.6376226381879814,0.0
TCGA-02-0009-01,TCGA-02-0043-01,0.6235415251516765,0.0
TCGA-02-0009-01,TCGA-02-0046-01,0.6443456456992991,0.0
TCGA-02-0009-01,TCGA-02-0057-01,0.6609300615609187,0.0
TCGA-02-0009-01,TCGA-02-0064-01,0.7293238573643179,0.0
TCGA-02-0009-01,TCGA-02-0070-01,0.6703031469916406,0.0
TCGA-02-0009-01,TCGA-02-0071-01,0.731392593109278,0.0
TCGA-02-0009-01,TCGA-02-0085-01,0.6358702622888568,0.0
TCGA-02-0009-01,TCGA-02-0102-01,0.6478932580919555,0.0
