u,v,sim
TCGA-06-2563-01,TCGA-14-0790-01,0.5611275005598011
TCGA-06-2563-01,TCGA-32-2638-01,0.5657919073157598
TCGA-06-2563-01,TCGA-06-2565-01,0.5604475068509969
TCGA-41-3915-01,TCGA-06-5413-01,0.5340378823364988
TCGA-41-3915-01,TCGA-27-1830-01,0.5264760869476547
TCGA-41-3915-01,TCGA-06-0649-01,0.6123188066053287
TCGA-41-3915-01,TCGA-06-0210-02,0.5549793497023354
TCGA-76-4932-01,TCGA-12-3653-01,0.5418147951356691
TCGA-76-4932-01,TCGA-15-0742-01,0.5823763553653009
TCGA-06-5412-01,TCGA-06-0141-01,0.8173776280058391
TCGA-06-5412-01,TCGA-28-2513-01,0.8505941811618231
TCGA-06-5412-01,TCGA-06-0171-02,0.8549141751652805
TCGA-06-5412-01,TCGA-06-0644-01,0.8114043710004926
TCGA-06-5412-01,TCGA-06-0130-01,0.8425599882382578
TCGA-06-5412-01,TCGA-02-0055-01,0.8443686694737768
TCGA-06-5412-01,TCGA-06-5410-01,0.8286775246107086
TCGA-16-1045-01,TCGA-06-0141-01,0.7814987179726015
TCGA-16-1045-01,TCGA-06-0171-02,0.8719906310419012
TCGA-16-1045-01,TCGA-06-5410-01,0.7977178380968792
TCGA-06-0141-01,TCGA-41-4097-01,0.7666439409363659
TCGA-06-0141-01,TCGA-06-0171-02,0.8810617543031939
TCGA-06-0141-01,TCGA-19-4065-01,0.7894463717508383
TCGA-06-0141-01,TCGA-06-5410-01,0.9188951361047134
TCGA-06-2557-01,TCGA-28-1753-01,0.6902393925735721
TCGA-06-2557-01,TCGA-32-4213-01,0.5104173451918179
TCGA-06-2557-01,TCGA-27-2519-01,0.4877158378074541
TCGA-06-2557-01,TCGA-06-0210-02,0.6089953154796884
TCGA-06-0157-01,TCGA-06-5856-01,0.4666318958860311
TCGA-28-1753-01,TCGA-06-5413-01,0.5536212652385947
TCGA-28-1753-01,TCGA-27-2519-01,0.49082103635139107
TCGA-28-1753-01,TCGA-06-0210-02,0.5823808818915484
TCGA-26-5139-01,TCGA-76-4926-01,0.534915680537895
TCGA-26-5139-01,TCGA-27-2528-01,0.6011602381892834
TCGA-26-5139-01,TCGA-06-0187-01,0.5716632389093723
TCGA-26-5139-01,TCGA-06-5414-01,0.6550630850929821
TCGA-26-5139-01,TCGA-32-2638-01,0.5445027137166919
TCGA-26-5136-01,TCGA-06-2567-01,0.5564750820447525
TCGA-28-2509-01,TCGA-14-1034-01,0.7495872533993052
TCGA-06-0168-01,TCGA-32-2632-01,0.7225321699071602
TCGA-76-4928-01,TCGA-06-0190-01,0.7953846738125603
TCGA-76-4928-01,TCGA-14-0789-01,0.7717433142077407
TCGA-76-4928-01,TCGA-06-0644-01,0.8292648971224976
TCGA-76-4928-01,TCGA-06-0190-02,0.7759927172270936
TCGA-12-1597-01,TCGA-12-3650-01,0.8760308338385507
TCGA-12-1597-01,TCGA-02-2483-01,0.8811806073201798
TCGA-12-1597-01,TCGA-12-0618-01,0.8875923118967108
TCGA-12-1597-01,TCGA-06-2558-01,0.8415745222552559
TCGA-12-1597-01,TCGA-27-2521-01,0.8521364132426571
TCGA-12-1597-01,TCGA-41-5651-01,0.8885027714606019
TCGA-12-1597-01,TCGA-41-2571-01,0.9133177086967342
TCGA-06-2567-01,TCGA-26-5132-01,0.5501458460914057
TCGA-06-2567-01,TCGA-32-2632-01,0.6918808325429286
TCGA-27-2526-01,TCGA-14-0787-01,0.4538115987706944
TCGA-27-2526-01,TCGA-14-1402-02,0.4494440929839451
TCGA-28-2513-01,TCGA-06-0190-01,0.7883656098709861
TCGA-28-2513-01,TCGA-41-4097-01,0.8117710135275972
TCGA-28-2513-01,TCGA-14-0789-01,0.7995317350554242
TCGA-28-2513-01,TCGA-06-0171-02,0.8229872994309749
TCGA-28-2513-01,TCGA-14-0781-01,0.804611271166555
TCGA-32-2615-01,TCGA-06-0878-01,0.6984411944667661
TCGA-19-1389-02,TCGA-14-1034-01,0.8074774983178431
TCGA-19-1389-02,TCGA-06-0644-01,0.8420382217230286
TCGA-19-1389-02,TCGA-06-0130-01,0.8343938256555583
TCGA-19-1389-02,TCGA-06-0190-02,0.8913963252956355
TCGA-19-1389-02,TCGA-02-0055-01,0.8880422622532368
TCGA-19-1389-02,TCGA-14-0781-01,0.8009103290895478
TCGA-27-1834-01,TCGA-28-5220-01,0.4217072696019833
TCGA-27-1834-01,TCGA-27-1830-01,0.5642042029797206
TCGA-27-1834-01,TCGA-06-5859-01,0.45009778084292645
TCGA-14-0787-01,TCGA-06-5414-01,0.6106086662065157
TCGA-06-5418-01,TCGA-06-2562-01,0.6091262760412598
TCGA-12-3650-01,TCGA-02-2483-01,0.8265964687940404
TCGA-12-3650-01,TCGA-12-0618-01,0.8588812605459061
TCGA-12-3650-01,TCGA-19-2624-01,0.8211733539872249
TCGA-12-3650-01,TCGA-41-2571-01,0.8758820752733948
TCGA-06-0681-11,TCGA-06-AABW-11,0.8640748063148441
TCGA-06-0681-11,TCGA-06-0680-11,0.9762680709792023
TCGA-06-0681-11,TCGA-06-0675-11,0.9630206832448375
TCGA-06-0681-11,TCGA-28-2514-01,0.7047941232577875
TCGA-06-0681-11,TCGA-06-0678-11,0.9561084467912312
TCGA-06-0681-11,TCGA-28-2510-01,0.8858810423485719
TCGA-28-5220-01,TCGA-14-1402-02,0.47981405733139804
TCGA-28-5220-01,TCGA-06-5859-01,0.4819355782670405
TCGA-06-0190-01,TCGA-41-4097-01,0.8100608150333006
TCGA-06-0190-01,TCGA-06-0644-01,0.8445385022186156
TCGA-06-0190-01,TCGA-06-0130-01,0.8088095875053112
TCGA-06-0190-01,TCGA-06-0190-02,0.8070793831544592
TCGA-06-0190-01,TCGA-02-0055-01,0.8079512458219974
TCGA-02-2483-01,TCGA-06-0686-01,0.8345407104246356
TCGA-02-2483-01,TCGA-06-2558-01,0.832574142441382
TCGA-02-2483-01,TCGA-06-2570-01,0.8291504242288772
TCGA-02-2483-01,TCGA-41-2571-01,0.85205222445875
TCGA-06-5417-01,TCGA-26-5133-01,0.7463668946390987
TCGA-06-5417-01,TCGA-26-1442-01,0.8067153604183989
TCGA-14-1825-01,TCGA-19-1390-01,0.8451806300641751
TCGA-14-1825-01,TCGA-06-0686-01,0.8325451213056024
TCGA-12-0618-01,TCGA-19-1390-01,0.8621153700517826
TCGA-12-0618-01,TCGA-06-0221-02,0.9050392832028304
TCGA-12-0618-01,TCGA-19-2624-01,0.8911410371800168
TCGA-12-0618-01,TCGA-41-5651-01,0.944337504363356
TCGA-12-0618-01,TCGA-41-2571-01,0.9175046567684285
TCGA-06-5413-01,TCGA-32-4213-01,0.5816701984975167
TCGA-06-5413-01,TCGA-06-0138-01,0.7462031395540877
TCGA-06-5413-01,TCGA-06-0156-01,0.8034848173626182
TCGA-06-5413-01,TCGA-27-2519-01,0.6115533819678275
TCGA-32-2616-01,TCGA-06-5858-01,0.5950963887246777
TCGA-12-0821-01,TCGA-28-5207-01,0.36371317515596296
TCGA-06-0158-01,TCGA-19-2620-01,0.4430041197239707
TCGA-06-0158-01,TCGA-12-5299-01,0.44397577089056406
TCGA-06-AABW-11,TCGA-06-0680-11,0.8161982170262313
