gene
OR4N2
RNF135
DNAJB11
KCNK4
ARNTL
LACTB
CAPN13
MRC2
UBE2E2
RDH12
CFDP1
TNFAIP8
ZNF323
PDIA5
NANOS1
FAM105B
C21orf15
PRDX6
KLRC2
LOC442421
FAM182A
FOXD3
GTDC1
NRARP
C19orf44
NOV
PLBD1
CLIC2
COL13A1
FHDC1
FAM108C1
GMPPB
SYCE2
PDIA3
CPNE8
ELMO2
CHRNA9
ZNF133
ORAI3
EGFR
DUSP13
DNASE1L1
WDR55
LCE1E
MARCKSL1
XKR6
EIF4E3
FAM176A
DNM1L
OGN
SFRS13B
CTSL2
PPP2R5A
GALNS
BCL7A
SUMO4
YME1L1
C9orf11
SLC16A7
HK2
EBF3
CLIC3
ARMC4
CAB39L
CYP1B1
POLE4
TMEM169
PRRX2
EFNB2
CFB
ABCC13
CNTD2
KLHL9
CD40
SGK223
SHROOM3
MYCNOS
CHAT
CMTM5
SEMA6A
PHLPP1
AKT2
LOC642846
ING2
CYP39A1
C6orf208
KAT5
ITGA7
HCRT
TMEM47
C6orf168
CELA1
CTSZ
C2orf84
CTSC
TMEM109
OTUD1
RBM47
HNRNPA3
G6PC2
ALG11
GSTM3
TKTL2
QTRTD1
CRYGA
UBE2G1
MITF
RGS8
CNTN6
MAPK1IP1L
OPTC
SLC20A1
RBCK1
NES
TNFRSF11A
GSTM4
SEC61G
PDGFD
PRTG
LRRC16A
ABCG1
CDH2
C9orf50
SEMA6D
UAP1
HGD
MEGF11
MBOAT7
CCND3
ENTPD2
RBM20
AGMAT
SNTG2
NKAIN4
APOC1P1
ANXA5
OTC
ATP7A
TEKT3
CPZ
FOXN2
KERA
GJD3
CLEC18B
CCDC77
LOC284900
SPATS1
SLC35F4
ANP32B
RBM38
SLC30A2
ADAM19
FXYD5
ZNF727
FZD7
C16orf92
RAGE
ADAM29
MYOM2
DNAJC13
SAAL1
SPPL2B
CMYA5
PLA2G10
FUNDC2P2
HIST1H2BC
TSNAX
KDM4C
RPS6KA3
ANGPT1
LOC285456
C14orf79
ZNF444
KCNJ6
PYY
RIPK1
FAM50A
PLCB1
CCDC73
SLC38A3
DDC
GJA9
ZNF642
C14orf70
NINJ2
ANGPTL5
SEPP1
TRIM21
ACAA2
SFRP4
APOL1
MTMR9
C1orf65
LTBP2
ZNF492
PRSS37
CR1L
CNTNAP5
HEMGN
PWRN1
